172.65.90.28:443#SG [229.15ms 0.20Mbps]
172.65.90.51:443#TW [229.20ms 0.68Mbps]
162.159.147.207:443#GB [229.24ms 0.28Mbps]
141.101.90.112:443#IT [229.26ms 0.19Mbps]
104.18.19.135:443#GB [229.26ms 0.21Mbps]
104.18.90.209:443#GB [229.34ms 0.20Mbps]
172.65.90.50:443#TW [229.55ms 0.20Mbps]
152.67.70.113:2053#CH [230.16ms 0.37Mbps]
162.159.129.34:443#GB [230.18ms 0.20Mbps]
141.101.90.109:443#AT [230.41ms 2.61Mbps]
162.159.147.50:443#GB [230.55ms 0.22Mbps]
162.159.156.93:443#GB [230.82ms 0.40Mbps]
141.101.90.125:443#ES [231.09ms 0.19Mbps]
104.20.61.224:443#DE [231.18ms 1.02Mbps]
104.18.87.210:443#GB [231.54ms 0.26Mbps]
104.18.88.95:443#GB [231.74ms 0.25Mbps]
141.193.213.16:443#GB [231.94ms 0.31Mbps]
172.65.90.81:443#TR [232.07ms 0.60Mbps]
37.221.79.54:8443#TR [232.13ms 1.05Mbps]
23.146.248.149:443#TW [232.27ms 0.28Mbps]
152.67.198.36:443#KR [232.29ms 0.49Mbps]
141.101.90.113:443#IT [232.92ms 0.26Mbps]
172.65.90.29:443#SG [232.95ms 0.40Mbps]
104.18.91.128:443#GB [233.49ms 0.38Mbps]
104.18.24.191:443#GB [233.61ms 0.50Mbps]
162.159.132.54:443#GB [233.68ms 0.25Mbps]
87.76.198.228:443#JP [233.91ms 2.92Mbps]
104.18.24.56:443#GB [234.13ms 0.20Mbps]
162.159.147.147:443#GB [234.53ms 0.25Mbps]
45.86.228.104:443#ZA [234.70ms 0.25Mbps]
172.65.90.30:443#SG [234.95ms 0.53Mbps]
193.36.38.17:443#MD [235.67ms 0.19Mbps]
162.159.156.143:443#GB [235.70ms 0.22Mbps]
23.227.39.154:443#GB [235.74ms 0.26Mbps]
23.227.38.95:443#GB [235.90ms 0.19Mbps]
104.18.31.27:443#GB [235.92ms 0.21Mbps]
162.159.130.213:443#GB [236.27ms 0.26Mbps]
23.227.39.152:443#GB [236.65ms 0.19Mbps]
172.65.90.8:443#IN [236.67ms 0.19Mbps]
141.101.90.111:443#FR [237.00ms 0.95Mbps]
104.20.51.190:443#DE [237.03ms 4.32Mbps]
104.18.17.14:443#GB [237.27ms 0.24Mbps]
104.18.82.212:443#GB [237.53ms 0.27Mbps]
104.20.50.122:443#DE [237.76ms 4.12Mbps]
172.65.90.48:443#ZA [238.07ms 0.20Mbps]
172.65.90.31:443#SG [238.22ms 0.23Mbps]
172.66.46.172:443#US [238.61ms 1.85Mbps]
104.17.233.69:443#US [238.83ms 1.68Mbps]
104.20.50.188:443#DE [239.14ms 3.88Mbps]
162.159.153.229:443#GB [239.59ms 0.24Mbps]
61.245.11.45:443#PH [239.73ms 0.44Mbps]
162.159.141.4:443#GB [239.80ms 0.24Mbps]
194.36.55.99:443#US [239.99ms 0.64Mbps]
65.21.156.174:8443#FI [240.01ms 0.45Mbps]
159.195.112.41:443#AT [240.15ms 0.81Mbps]
104.20.52.227:443#DE [240.48ms 3.23Mbps]
162.159.146.204:443#GB [240.52ms 0.75Mbps]
172.67.154.8:443#US [240.65ms 0.20Mbps]
13.140.10.28:2087#SE [241.51ms 0.81Mbps]
104.18.10.76:443#US [241.84ms 1.64Mbps]
162.159.148.178:443#GB [241.90ms 0.17Mbps]
172.66.45.217:443#US [242.06ms 0.45Mbps]
91.245.225.79:8443#CH [243.27ms 0.48Mbps]
162.159.148.97:443#GB [243.43ms 0.82Mbps]
216.57.110.95:8443#NL [243.72ms 0.45Mbps]
31.58.76.68:8443#FR [243.90ms 1.65Mbps]
141.101.90.119:443#CH [244.15ms 0.20Mbps]
104.17.233.66:443#US [244.39ms 0.30Mbps]
172.65.90.3:443#AU [244.39ms 0.17Mbps]
37.252.189.207:443#AT [244.42ms 2.57Mbps]
5.45.126.36:443#EE [244.43ms 3.46Mbps]
13.140.29.45:443#BG [244.46ms 0.26Mbps]
63.32.194.15:2053#IE [244.87ms 1.24Mbps]
172.67.157.201:443#US [245.16ms 1.30Mbps]
217.156.65.62:443#MD [245.21ms 0.19Mbps]
172.67.64.110:443#US [245.26ms 0.41Mbps]
51.83.186.193:443#PL [245.42ms 3.59Mbps]
194.87.134.130:443#NL [245.74ms 0.19Mbps]
194.76.227.72:443#EE [246.25ms 0.94Mbps]
104.26.13.154:443#US [246.29ms 1.56Mbps]
167.104.219.197:2083#TR [247.32ms 0.39Mbps]
